Category	Trick	Problem	Answer
Number Sense	Multiplying by 11 Trick	11 $\times$ 54 =	594
Number Sense	Multiplying by 11 Trick	11 $\times$ 72 =	792
Number Sense	Multiplying by 11 Trick	11 $\times$ 38 =	418
Number Sense	Multiplying by 11 Trick	462 $\times$ 11 =	5082
Number Sense	Multiplying by 11 Trick	11 $\times$ 74 =	814
Number Sense	Multiplying by 11 Trick	66 $\times$ 11 =	726
Number Sense	Multiplying by 11 Trick	1.1 $\times$ 2.3 =	2.53
Number Sense	Multiplying by 11 Trick	52 $\times$ 11 =	572
Number Sense	Multiplying by 11 Trick	246 $\times$ 11 =	2706
Number Sense	Multiplying by 11 Trick	111 $\times$ 456 =	50616
Number Sense	Multiplying by 11 Trick	198 $\div$ 11 =	18
Number Sense	Multiplying by 11 Trick	357 $\times$ 11 =	3927
Number Sense	Multiplying by 11 Trick	275 $\div$ 11 =	25
Number Sense	Multiplying by 11 Trick	321 $\times$ 111 =	35631
Number Sense	Multiplying by 11 Trick	1.1 $\times$.25 =	.275
Number Sense	Multiplying by 11 Trick	111 $\times$ 44 =	4884
Number Sense	Multiplying by 11 Trick	374 $\div$ 11 =	34
Number Sense	Multiplying by 11 Trick	87 $\times$ 111 =	9657
Number Sense	Multiplying by 11 Trick	286 $\div$ 11 =	26
Number Sense	Multiplying by 11 Trick	111 $\times$ 53 =	5883
Number Sense	Multiplying by 11 Trick	297 $\div$ 11 =	27
Number Sense	Multiplying by 11 Trick	2233 $\div$11=	203
Number Sense	Multiplying by 11 Trick	198 $\times$ 11 =	2178
Number Sense	Multiplying by 11 Trick	297 $\div$ 11 =	27
Number Sense	Multiplying by 11 Trick	111 $\times$ 41 =	4551
Number Sense	Multiplying by 11 Trick	111 $\times$ 35 =	3885
Number Sense	Multiplying by 11 Trick	111 $\times$ 345 =	38295
Number Sense	Multiplying by 11 Trick	2003 $\times$ 111 =	222333
Number Sense	Multiplying by 11 Trick	3 $\times$ 5 $\times$ 7 $\times$ 11 =	1155
Number Sense	Multiplying by 11 Trick	121 $\times$ 121 =	14641
Number Sense	Multiplying by 11 Trick	33 $\times$ 1111 =	36663
Number Sense	Multiplying by 11 Trick	22 $\times$ 32 =	704
Number Sense	Multiplying by 11 Trick	36963 $\div$ 111 =	333
Number Sense	Multiplying by 11 Trick	20.07 $\times$ 1.1 =	22.077
Number Sense	Multiplying by 11 Trick	11% of 22 is: % (dec.)	2.42%
Number Sense	Multiplying by 11 Trick	13 $\times$ 121 =	1573
Number Sense	Multiplying by 11 Trick	27972 $\div$ 111 =	252
Number Sense	Multiplying by 11 Trick	2006 $\times$ 11 =	22066
Number Sense	Multiplying by 11 Trick	114 =	14641
Number Sense	Multiplying by 11 Trick	33 $\times$ 44 =	1452
Number Sense	Multiplying by 11 Trick	2 $\times$ 3 $\times$ 11 $\times$ 13 =	858
Number Sense	Multiplying by 11 Trick	121 $\times$ 22 =	2662
Number Sense	Multiplying by 11 Trick	44 $\times$ 55 =	2420
Number Sense	Multiplying by 11 Trick	2 $\times$ 3 $\times$ 5 $\times$ 7 $\times$ 11 =	2310
Number Sense	Multiplying by 11 Trick	2553 $\div$ 111 =	23
Number Sense	Multiplying by 11 Trick	114 $\times$ 121 =	13794
Number Sense	Multiplying by 11 Trick	44 $\times$ 25 $\times$ 11 =	12100
Number Sense	Multiplying by 11 Trick	55 $\times$ 33 =	1815
Number Sense	Multiplying by 11 Trick	32 $\times$ 64 $\times$ 16 $\div$ 48 =	**683**<br>648−717
Number Sense	Multiplying by 11 Trick	2002 $\div$ 11 =	182
Number Sense	Multiplying by 11 Trick	77 $\times$ 88 =	6776
Number Sense	Multiplying by 11 Trick	44.4 $\times$ 33.3 $\times$ 22.2 =	**32823**<br>31181−34465
Number Sense	Multiplying by 11 Trick	11 $\times$ 11 $\times$ 11 $\times$ 11 =	14641
Number Sense	Multiplying by 11 Trick	25553 $\div$ 1111 =	23
Number Sense	Multiplying by 11 Trick	11 $\times$ 13 $\times$ 42 =	6006
Number Sense	Multiplying by 11 Trick	1111 $\times$ 123 =	136653
Number Sense	Multiplying by 11 Trick	11 $\times$ 7 $\times$ 5 $\times$ 3 $\times$ 2 =	2310
Number Sense	Multiplying by 11 Trick	121 $\times$ 124 =	15004
Number Sense	Multiplying by 11 Trick	33 $\times$ 44 $\times$ 55 =	**79875**<br>75897−83853
Number Sense	Multiplying by 101 Trick	1234 $\times$ 101 =	124634
Number Sense	Multiplying by 101 Trick	10.1 $\times$ 234 =	2363.4
Number Sense	Multiplying by 101 Trick	369 $\times$ 101 =	37269
Number Sense	Multiplying by 101 Trick	34845 $\div$ 101 =	345
Number Sense	Multiplying by 101 Trick	22422 $\div$ 101 =	222
Number Sense	Multiplying by 101 Trick	202 $\times$ 123 =	24846
Number Sense	Multiplying by 101 Trick	If 6 balls cost $6.06, then 15 balls cost: $	$15.15
Number Sense	Multiplying by 101 Trick	404 $\times$1111=	448844
Number Sense	Multiplying by 101 Trick	(48 + 53) $\times$ 151 =	**15251**<br>14488−16014
Number Sense	Multiplying by 25 Trick	240 $\times$ 25 =	6000
